source_id,designation,ra,dec,phot_g_mean_mag,parallax,bp_rp,ph_qual,j_m,h_m,ks_m
604729402411977088,08550768+1145382,133.78200228103236,11.760587597440654,11.797061,1.9139736127836533,0.95811653,AAA,10.604,10.245,10.15
604911582041107456,08511229+1146212,132.80117906395006,11.77257446108628,13.054901,1.177189770343793,0.77423763,AAA,12.06,11.751,11.704
604916873440769152,08514507+1147459,132.93777157402997,11.796090555435972,11.2212715,1.2508955092582283,1.1992569,AAA,9.684,9.183,9.045
604914777496782720,08510156+1147501,132.75644759317666,11.797265827789168,13.358971,1.119303305295679,0.7733822,AAA,12.371,12.067,11.991
604917629355037568,08512526+1148135,132.8552415064304,11.803761895867131,13.985338,1.1659984855010577,0.8990402,AAA,12.839,12.518,12.38
604906462440021504,08520861+1148158,133.03592732777153,11.804363469147802,13.628075,1.2736305247758717,0.7299595,AAA,12.701,12.399,12.361
604920584292557440,08510890+1148377,132.78704919046552,11.81052445063636,13.810784,0.870888640318543,0.8927479,AAA,12.722,12.293,12.232
604907110979352576,08520785+1149500,133.03269795301233,11.830537500608887,13.701042,1.1661968586223292,0.75565815,AAA,12.77,12.456,12.424
604921649444253952,08510595+1151098,132.77478354023353,11.85274867694054,13.180007,0.6726823071634542,0.75344753,AAA,12.189,11.928,11.866
604921168408082304,08512175+1151420,132.8405959605238,11.861671331691054,13.88508,1.135786148489855,0.8465862,AAA,12.797,12.465,12.386
604919239966985984,08515963+1152576,132.99843909344895,11.88267710862665,12.670234,1.1950705700907047,0.7535353,AAA,11.722,11.471,11.382
604969031523465728,08505600+1153520,132.73331198291802,11.897759102166257,13.502274,1.1848325254011254,0.741765,AAA,12.582,12.278,12.227
604923470510326784,08514522+1156552,132.93836375385104,11.948695079084786,13.429287,1.1938733065198046,0.7343483,AAA,12.507,12.25,12.181
604972089540120832,08512530+1202563,132.85538541143225,12.049013154771265,13.385247,1.155151961830552,1.2792387,AAA,11.671,11.123,10.971
604973017253073536,08510906+1203022,132.78770532888203,12.050601436357928,13.56774,1.1530946179273056,0.74101925,AAA,12.65,12.365,12.321
607987736401416576,08485110+1208061,132.2128878316977,12.134973831219169,13.998115,0.743422696463533,0.93266296,AAA,12.822,12.431,12.342
604988891452225152,08503478+1208312,132.6448975569487,12.14198971377457,13.735407,1.1837761595038507,0.75956154,AAA,12.765,12.559,12.433
608005122429028608,08474835+1216307,131.95130348161507,12.27492226072478,13.233225,3.7537805179693535,1.110198,AAA,11.802,11.327,11.261
605008682661424384,08515536+1217258,132.98061034433417,12.290505727111585,10.772595,2.179478751407887,0.64447975,AAA,9.968,9.785,9.676
605025244055310720,08513724+1228260,132.905217488189,12.473816828216576,13.448203,1.5095165507281494,0.8477793,AAA,12.319,11.969,11.944
608026528546174720,08500068+1230257,132.50275671525685,12.506953522962576,12.179084,2.4913846410945157,0.7446995,AAA,11.242,10.938,10.943
608030587290798464,08510303+1232531,132.76242825777254,12.548251698728928,10.26649,5.084512076625216,0.6796541,AAA,9.226,8.991,8.919
605125089159188352,08521519+1239172,133.0632689339137,12.654780615272566,10.367642,3.1409804542707147,0.69205093,AAA,9.501,9.266,9.206
598668348859510912,08511361+1059465,132.80668981602963,10.996230533439991,13.243392,0.7912485314677228,0.64750767,AAA,12.384,12.199,12.19
608049347707952768,08501724+1244375,132.57183616210656,12.743737102879091,13.516563,1.110754706642495,0.67771435,AAA,12.661,12.387,12.366
598848256449732352,08490906+1101582,132.28771386209303,11.032818658306947,12.758055,1.2751114115045072,0.680006,AAA,11.867,11.631,11.61
604629248070309248,08535011+1105503,133.45876229017983,11.097317874138083,12.874134,1.2005180246542753,0.75934696,AAA,11.896,11.668,11.55
598852242179375232,08491201+1107428,132.30004397194548,11.12837826684789,11.744475,3.285998205807965,0.72685146,AAA,10.8,10.51,10.462
604633852275255680,08532742+1111047,133.36419551334322,11.184642243359276,10.622677,1.8506101633339125,1.0553741,AAA,9.289,8.786,8.749
604680856397344128,08532214+1112230,133.34228084075914,11.206400330944396,13.656553,0.1860673692607084,1.1192799,AAA,12.199,11.691,11.633
598878424300068352,08495521+1115102,132.47998197025302,11.252778942347105,8.21223,2.4558152309639096,1.1176262,AAA,6.767,6.259,6.17
598878802258220800,08493693+1115358,132.4039237710883,11.25995283553357,12.852476,0.9133060565490216,0.7314825,AAA,11.935,11.682,11.617
598911542792049152,08475271+1115558,131.96963655107845,11.26554204353388,13.590913,1.1715897291316215,0.7312937,AAA,12.568,12.246,12.202
598692538115255552,08515686+1117586,132.986986624474,11.299593809850956,12.19757,1.703388254699305,0.60518265,AAA,11.389,11.157,11.131
598892339994035200,08491972+1121067,132.3322163261529,11.351852458751797,13.890659,0.9391422890021736,0.8205223,AAA,12.787,12.485,12.394
598884746491793024,08512428+1123173,132.85114939975372,11.388125297348465,13.011026,1.1537852378067346,0.7392645,AAA,12.052,11.805,11.746
604699445015802624,08524464+1125494,133.18597873758358,11.43037089031248,13.756668,1.125665209670883,0.74598026,AAA,12.821,12.561,12.474
598885777283950848,08510113+1126119,132.75467899209937,11.436625463058856,13.480726,0.9300418060899904,0.86439705,AAA,12.342,12.015,11.957
604694153616062208,08534566+1126307,133.44021637667134,11.441845178662492,11.89303,3.165806775849207,0.7968235,AAA,10.882,10.564,10.501
598898043710588672,08493694+1129032,132.40397813282055,11.484203509033264,13.722758,1.2922175720738975,0.8475838,AAA,12.647,12.313,12.269
598890347129151104,08505306+1131201,132.72102287875396,11.522250361479744,13.230782,1.169407184151365,0.75239563,AAA,12.251,12.014,11.923
598937072077647232,08474182+1131402,131.9241919298204,11.527839793222556,13.782518,1.3938250978672944,0.82361126,AAA,12.767,12.48,12.348
604669582107485952,08550228+1131563,133.75953057059962,11.532253271023755,9.171469,1.7266520434429051,1.3023739,AAA,7.472,6.947,6.806
604707622633508992,08531969+1132235,133.33207944114994,11.539813152009016,13.477634,0.242834183886454,1.0586824,AAA,12.088,11.587,11.513
604896635554923008,08513215+1136126,132.8839407689015,11.603474200237882,13.151058,1.1568720743566456,0.7461138,AAA,12.207,11.965,11.91
604908416649384960,08504198+1136525,132.6748898176904,11.614602330455092,12.498256,1.2122412935346087,0.8654661,AAA,11.41,11.062,10.998
604896566835438464,08513769+1137037,132.90699758067746,11.617702261869198,12.2207,1.3773084158232212,0.5397787,AAA,11.55,11.411,11.341
598961609226483456,08480371+1137211,132.01535577819666,11.622511457951909,10.7412815,3.6945580271518814,0.599967,AAA,9.957,9.766,9.709
604897047871749376,08515345+1138326,132.97266682757402,11.642391248543529,12.53787,1.163966201676433,0.74940586,AAA,11.567,11.312,11.276
604909000764935936,08505308+1140021,132.72110263208714,11.667283984723577,13.522219,1.1413474446249217,0.74252796,AAA,12.577,12.344,12.259
604727654360927104,08545316+1142222,133.72157257339495,11.706152965435502,9.223452,0.4906486091726532,2.2776155,AAA,6.561,5.716,5.423
604911199788235648,08511628+1144328,132.81779657290343,11.742470236647666,13.301689,1.1727584165852136,0.76684284,AAA,12.308,12.021,11.954
604905534727086336,08521342+1146013,133.05590423274012,11.767011728804636,13.319092,1.1655713612446683,0.648366,AAA,12.507,12.284,12.237
598965487581269504,08481950+1146414,132.081231851401,11.778062550683096,12.925371,1.3505893774311006,1.1156435,AAA,11.533,11.065,10.96
604905019331022080,08515852+1146529,132.99374956558643,11.781416089515195,12.2996645,1.4259508770989169,0.7902508,AAA,11.264,10.988,10.907
604917629355038720,08512408+1148218,132.850311092646,11.806077942155428,12.679014,1.155961334790509,0.7448349,AAA,11.73,11.48,11.427
598969477606561792,08475867+1148531,131.9944072468673,11.814658956024594,13.734478,1.7037146169822168,0.9092159,AAA,12.607,12.257,12.212
604917663714774784,08512495+1149007,132.85391265515494,11.81687446410504,13.094708,1.2258146711835962,0.76790714,AAA,12.128,11.834,11.782
604906702958193152,08520215+1149083,133.00893277320804,11.818979478458504,13.218655,1.1807411446386769,0.7462158,AAA,12.26,11.972,11.923
604918041671892352,08512652+1149202,132.86046098811008,11.822305410733648,13.336247,1.1482388377692994,0.75470257,AAA,12.348,12.092,12.015
